섹션,항목,세부사항
주요 경제 지표,미국 기준금리,"4.25%~4.50% (5월 7일 FOMC 동결, 세 번째 연속)"
주요 경제 지표,원/달러 환율,"1,413.70원 (5월 13일), 변동 1,375원~1,436원"
주요 경제 지표,미국 CPI,"4월 발표 예정(5월 13일 8:30 ET), 3월 +2.4%"
글로벌 시장 및 주요 이슈,미·중 무역 휴전,"미국: 145%→30%, 중국: 125%→10%, 나스닥 +4.4%"
글로벌 시장 및 주요 이슈,미국 증시 상승,"다우 +1,160포인트(2.8%), S&P 500 +3.3%, 나스닥 +4.4%"
글로벌 시장 및 주요 이슈,금리 인하 기대,완화된 무역 긴장 → 금리 유지 전망
산업별 주요 이벤트,IT/반도체,"JD.com, Sea Ltd., CyberArk, Silicon Labs 실적 발표(5월 13일)"
산업별 주요 이벤트,의료/바이오,"Scientific Industries 1분기 실적(5월 13일), 컨콜(5월 14일)"
산업별 주요 이벤트,금융,"Aditya Birla Capital, Bharti Airtel, Tata Motors 실적 발표 예정"
산업별 주요 이벤트,건설,"Plumbing and Fire Protection Expo (NY 자빗츠 센터, 5월 15일)"
산업별 주요 이벤트,항공,"Flynas IPO 발표(5월 12일, 최대 11억 달러)"
산업별 주요 이벤트,식품,"Food Safety Summit and Expo (시카고, 5월 12일~15일)"
